City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Novoagansk,RU,2020-08-20 23:02:44,61.94,76.66,52.65,97,100,4.74
168,Hobyo,SO,2020-08-20 23:02:44,5.35,48.53,75.83,83,96,21.61
169,Buchanan,LR,2020-08-20 23:02:44,5.88,-10.05,76.23,84,97,11.43
170,Boden,SE,2020-08-20 23:02:45,65.83,21.69,59.0,100,54,4.7
171,Thinadhoo,MV,2020-08-20 23:02:45,0.53,72.93,83.77,62,91,3.13
172,Ocos,GT,2020-08-20 23:02:45,14.51,-92.19,78.8,100,75,2.24
173,Coihaique,CL,2020-08-20 23:02:45,-45.58,-72.07,48.2,85,93,9.17
174,Saint-Georges,GD,2020-08-20 23:00:50,12.06,-61.75,82.4,83,75,11.41
175,Galle,LK,2020-08-20 23:02:45,6.04,80.22,79.39,84,99,9.95
176,Carmarthen,GB,2020-08-20 23:02:45,51.86,-4.31,66.2,72,96,27.51
177,Yermakovskoye,RU,2020-08-20 23:02:45,53.28,92.4,52.75,78,0,1.45
178,Sao Joao Da Barra,BR,2020-08-20 23:02:45,-21.64,-41.05,72.27,78,78,20.38
179,Nantucket,US,2020-08-20 22:57:53,41.28,-70.1,69.8,73,1,8.05
180,Chapais,CA,2020-08-20 23:02:45,49.78,-74.85,62.6,67,1,12.75
181,Lyuban,BY,2020-08-20 23:02:45,52.8,28.0,59.49,94,68,6.58
182,Tandil,AR,2020-08-20 23:02:45,-37.32,-59.13,39.34,69,0,8.34
183,Porvoo,FI,2020-08-20 23:02:46,60.39,25.67,59.0,93,97,3.36
184,Yerbogachen,RU,2020-08-20 23:02:46,61.28,108.01,55.38,90,13,7.38
185,Omboue,GA,2020-08-20 23:02:46,-1.57,9.26,72.55,86,100,7.74
186,Sobolevo,RU,2020-08-20 23:02:46,54.43,31.9,56.66,82,100,7.34
187,Dhidhdhoo,MV,2020-08-20 23:02:46,6.88,73.1,82.22,76,100,10.36
188,Damghan,IR,2020-08-20 23:02:46,36.17,54.35,74.7,45,0,1.5
189,Xai-Xai,MZ,2020-08-20 23:02:46,-25.05,33.64,59.49,85,0,5.55
190,Coquimbo,CL,2020-08-20 23:02:46,-29.95,-71.34,51.8,87,0,9.17
191,Kyra,RU,2020-08-20 23:02:46,49.58,111.98,58.55,82,20,2.3
192,Anadyr,RU,2020-08-20 23:02:46,64.75,177.48,57.2,54,100,8.95
193,Marsa Matruh,EG,2020-08-20 23:02:46,31.35,27.25,77.0,83,40,4.7
194,Nichinan,JP,2020-08-20 23:02:47,31.6,131.37,82.4,83,20,4.7
195,Minyar,RU,2020-08-20 23:02:47,55.07,57.55,50.61,94,99,4.72
196,Panjab,AF,2020-08-20 23:02:47,34.39,67.02,46.87,53,0,4.07
197,Harer,ET,2020-08-20 23:02:47,9.31,42.13,61.48,88,78,5.64
198,Lagoa,PT,2020-08-20 23:02:47,39.05,-27.98,70.02,82,37,16.4
199,Rumoi,JP,2020-08-20 23:02:47,43.93,141.64,65.53,54,76,3.47
200,Abu Dhabi,AE,2020-08-20 23:01:50,24.47,54.37,93.2,71,78,4.7
201,Namatanai,PG,2020-08-20 23:02:47,-3.67,152.43,83.44,70,1,6.76
202,Sarangani,PH,2020-08-20 23:02:47,5.4,125.46,83.66,68,11,4.27
203,Norsup,VU,2020-08-20 23:02:47,-16.07,167.38,78.8,94,40,7.0
204,Kudahuvadhoo,MV,2020-08-20 23:02:47,2.67,72.89,82.58,66,52,4.14
205,La Ronge,CA,2020-08-20 23:01:55,55.1,-105.28,77.0,36,75,2.24
206,Vilhena,BR,2020-08-20 22:58:48,-12.74,-60.15,59.0,93,90,17.22
207,Isangel,VU,2020-08-20 23:02:48,-19.55,169.27,78.8,78,20,5.82
208,Along,IN,2020-08-20 23:02:48,28.17,94.77,70.95,87,20,0.4
209,Atambua,ID,2020-08-20 23:02:48,-9.11,124.89,71.76,65,5,3.51
210,Miramar,US,2020-08-20 23:01:38,25.99,-80.23,89.6,70,40,10.29
211,Qasigiannguit,GL,2020-08-20 23:02:48,68.82,-51.19,48.2,57,28,2.24
212,Mugur-Aksy,RU,2020-08-20 23:02:48,50.35,90.5,43.23,78,0,2.53
213,Flinders,AU,2020-08-20 23:02:48,-34.58,150.86,57.99,61,9,11.01
214,Maniitsoq,GL,2020-08-20 23:02:48,65.42,-52.9,50.41,74,1,12.55
215,Balkhash,KZ,2020-08-20 23:02:48,46.84,74.98,68.25,35,98,4.18
216,Rathdrum,US,2020-08-20 23:02:48,47.81,-116.89,84.0,34,1,9.17
217,Hamilton,US,2020-08-20 23:02:45,39.18,-84.53,81.0,42,1,3.36
218,Ust-Omchug,RU,2020-08-20 23:02:48,61.15,149.63,36.36,82,100,11.41
219,Boueni,YT,2020-08-20 23:02:48,-12.9,45.08,73.4,78,26,5.82
220,Oriximina,BR,2020-08-20 23:02:00,-1.77,-55.87,85.93,42,31,3.62
221,Carauari,BR,2020-08-20 23:02:48,-4.88,-66.9,87.94,46,43,0.89
222,Coahuayana,MX,2020-08-20 23:02:49,18.73,-103.68,80.6,78,75,13.87
223,Chililabombwe,ZM,2020-08-20 23:00:19,-12.36,27.82,64.83,50,6,8.3
224,Thiruvananthapuram,IN,2020-08-20 23:02:49,8.48,76.92,80.6,88,20,4.7
225,Broken Hill,AU,2020-08-20 23:02:49,-31.95,141.43,46.4,81,40,17.22
226,Ballina,AU,2020-08-20 23:01:36,-28.87,153.57,60.01,54,0,6.93
227,Fortuna,US,2020-08-20 23:02:49,40.6,-124.16,75.99,39,0,8.01
228,Sungaipenuh,ID,2020-08-20 23:02:49,-2.08,101.38,64.26,93,96,3.65
229,Magadan,RU,2020-08-20 23:02:49,59.57,150.8,54.57,71,100,9.66
230,Saurimo,AO,2020-08-20 23:02:49,-9.66,20.39,75.13,26,86,3.11
231,Atlantis,ZA,2020-08-20 23:02:49,-33.57,18.48,52.0,98,26,4.74
232,Sola,VU,2020-08-20 23:02:49,-13.88,167.55,81.18,85,6,11.21
233,Tuatapere,NZ,2020-08-20 23:02:49,-46.13,167.68,48.0,98,100,1.01
234,Omagh,GB,2020-08-20 23:02:49,54.6,-7.3,59.07,92,100,17.87
235,Chara,RU,2020-08-20 23:02:50,56.91,118.26,63.41,53,96,0.72
236,Hellin,ES,2020-08-20 23:02:50,38.51,-1.7,72.0,79,4,3.22
237,Sendafa,ET,2020-08-20 23:02:50,9.15,39.03,62.6,77,75,4.7
238,Alihe,CN,2020-08-20 23:02:50,50.57,123.72,57.7,65,7,2.37
239,Mizdah,LY,2020-08-20 23:02:50,31.45,12.98,74.1,66,0,10.27
240,Rodrigues Alves,BR,2020-08-20 23:02:50,-7.74,-72.65,86.0,70,75,13.87
241,Ygatimi,PY,2020-08-20 23:02:50,-24.08,-55.5,51.87,65,100,4.97
242,Shingu,JP,2020-08-20 23:02:50,33.73,135.98,84.33,65,0,1.97
243,Bauchi,NG,2020-08-20 23:02:50,10.5,10.0,71.08,91,100,6.33
244,Krasnoselkup,RU,2020-08-20 23:02:50,65.7,82.47,54.73,91,93,7.16
245,Ixtapa,MX,2020-08-20 23:02:51,20.7,-105.2,89.01,70,75,11.41
246,Hurghada,EG,2020-08-20 23:02:10,27.26,33.81,87.8,27,16,10.29
247,Caibarien,CU,2020-08-20 23:02:51,22.52,-79.47,86.0,66,75,8.05
248,Parrita,CR,2020-08-20 23:02:51,9.52,-84.32,75.2,73,40,10.29
249,Red Bluff,US,2020-08-20 23:02:51,40.18,-122.24,97.0,16,90,6.93
250,Cagliari,IT,2020-08-20 23:02:51,39.24,9.09,80.6,78,0,10.29
251,Tateyama,JP,2020-08-20 23:02:51,34.98,139.87,87.01,81,1,1.99
252,Ghanzi,BW,2020-08-20 23:02:51,-21.57,21.78,48.42,43,0,6.53
