City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Prince Albert,CA,66.2,overcast clouds,53.2,-105.77,Holiday Inn Express & Suites Prince Albert
419,Moron,AR,66.0,clear sky,-34.65,-58.62,Hotel Morón
421,Nokaneng,BW,70.29,broken clouds,-19.67,22.27,
427,Khonsa,IN,68.54,light rain,27.02,95.57,
428,Merauke,ID,73.04,few clouds,-8.47,140.33,
429,Ushtobe,KZ,68.16,broken clouds,45.25,77.98,"Gostinitsa ""Diyar"""
430,Semily,CZ,61.0,overcast clouds,50.6,15.34,Hotel Municipal House
433,Liverpool,GB,60.8,moderate rain,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
441,Souris,CA,75.0,broken clouds,49.62,-100.26,The Souris Hotel
443,Kefamenanu,ID,65.39,clear sky,-9.45,124.48,PAULUS TAITOH
452,Arequipa,PE,69.8,clear sky,-16.4,-71.53,Casa de Avila Hotel
459,Quelimane,MZ,71.6,scattered clouds,-17.88,36.89,Hotel Flamingo
463,Talcahuano,CL,60.8,clear sky,-36.72,-73.12,Hotel Terramar
465,Saint-Pierre,RE,66.2,clear sky,-21.34,55.48,Lindsey Hôtel
468,Whitley Bay,GB,60.8,shower rain,55.04,-1.45,Cara Guesthouse
474,Pacific Grove,US,64.4,smoke,36.62,-121.92,Lovers Point Inn
478,Lola,GN,72.48,light rain,7.8,-8.53,
480,Lasa,IT,62.01,few clouds,46.62,10.7,Pension Feldgärtenhof
482,Faya,SA,71.6,clear sky,18.39,42.45,مقبرة ال مجمل
483,Kutum,SD,72.39,moderate rain,14.2,24.67,Dibbo areaمنطقة دبو
485,Yinchuan,CN,74.75,overcast clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
486,Ferrol,ES,68.0,few clouds,43.48,-8.24,Carrís Almirante
489,Saint-Joseph,RE,66.2,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
491,Killybegs,IE,60.8,scattered clouds,54.63,-8.45,Tara Hotel
497,Great Yarmouth,GB,69.01,clear sky,52.61,1.73,Comfort Hotel Great Yarmouth
498,Boyuibe,BO,69.15,few clouds,-20.42,-63.28,Residencial Eluzai
499,Miandrivazo,MG,74.77,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
501,Almenara,BR,74.7,overcast clouds,-16.18,-40.69,Pousada Sol Nascente 1
504,Ostrovnoy,RU,60.55,scattered clouds,68.05,39.51,
508,Blagodatnoye,RU,66.2,clear sky,45.4,42.59,
509,Bowen,AU,63.0,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
513,Kenai,US,63.0,clear sky,60.55,-151.26,Aspen Extended Stay Suites
519,Sao Francisco Do Sul,BR,64.99,clear sky,-26.24,-48.64,Hotel Kontiki
523,Oytal,KZ,71.62,clear sky,42.91,73.27,Sanatorium Ak-Niet
524,Lewiston,US,73.0,light rain,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
528,Hoima,UG,65.3,scattered clouds,1.44,31.34,Tik Hotel
533,Zhoucheng,CN,71.04,scattered clouds,35.91,116.31,Yingbin Restaurant
537,Eugene,US,71.6,scattered clouds,44.05,-123.09,Valley River Inn
538,Birao,CF,73.92,overcast clouds,10.28,22.79,
543,Bonavista,CA,64.0,clear sky,48.65,-53.11,Abbott's Bed & Breakfast
545,Bima,ID,71.87,scattered clouds,-8.47,118.72,Lambitu Hotel
548,Redmond,US,70.0,scattered clouds,47.67,-122.12,Seattle Marriott Redmond
550,Antsohihy,MG,70.47,broken clouds,-14.88,47.99,Hotel de Ville
555,Angoche,MZ,71.96,scattered clouds,-16.23,39.91,Guest House HESADA
556,Zhongshu,CN,61.23,light rain,24.52,103.77,Xintianlong Hotel
557,Vila,PT,72.0,broken clouds,42.03,-8.16,Hotel Castrum Villae
560,Jaguarao,BR,60.17,clear sky,-32.57,-53.38,Hotel Rio's
562,Oruro,BO,60.3,clear sky,-17.98,-67.15,Eden by BlueBay
564,Resavica,RS,68.85,clear sky,44.04,21.58,Hotel Đula
566,Bay Roberts,CA,69.01,broken clouds,47.6,-53.26,Stonewall Inn
567,Richards Bay,ZA,66.6,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
568,Wloszczowa,PL,71.01,light rain,50.85,19.97,Hotel Mariage
571,Hede,CN,73.63,clear sky,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
572,Comodoro Rivadavia,AR,68.0,scattered clouds,-45.87,-67.5,Austral Hotel
574,Luena,AO,74.77,broken clouds,-11.78,19.92,Hotel Kandamba
577,Katherine,AU,64.4,clear sky,-14.47,132.27,Pine Tree Motel
578,Havoysund,NO,64.4,broken clouds,71.0,24.66,Arctic View Glamping & Restaurant
581,Rawson,AR,65.91,clear sky,-43.3,-65.1,Hotel Punta León
590,Goundi,TD,72.99,overcast clouds,9.36,17.37,
592,Umea,SE,64.4,clear sky,63.83,20.26,Hotel Avenue | ProfilHotels
600,Ilo,PE,64.4,overcast clouds,-17.64,-71.34,Torreblanca Hotel
601,Shuangyang,CN,62.6,few clouds,43.52,125.67,Boutique Chatelet
602,Kalemie,CD,71.91,scattered clouds,-5.95,29.19,Mahobilali
605,Kaliua,TZ,73.27,overcast clouds,-5.06,31.79,Millennium Complex
606,Nedjo,ET,60.22,light rain,9.5,35.5,Yerosan Hotel
607,Atambua,ID,67.5,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
609,Chippewa Falls,US,73.0,light rain,44.94,-91.39,AmericInn by Wyndham Chippewa Falls
610,Ekibastuz,KZ,61.3,overcast clouds,51.67,75.37,
613,Huambo,AO,68.9,overcast clouds,-12.78,15.74,SiSHotel
614,Nurota,UZ,73.4,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
615,Wolbrom,PL,73.0,moderate rain,50.38,19.76,Zajazd FINEZJA
616,Salantai,LT,69.8,overcast clouds,56.07,21.57,Farmstead Old Ruble
618,Chato,TZ,71.87,broken clouds,-2.64,31.77,Marine Hotel
619,Pozo Colorado,PY,67.3,clear sky,-23.49,-58.8,Hospedaje la Amistad
625,Sanmenxia,CN,69.93,few clouds,34.77,111.18,Pengzhou Hotel
626,Tianpeng,CN,75.0,heavy intensity rain,30.99,103.94,Shuangliu Love Home Business Hotel
627,Kaputa,ZM,74.19,clear sky,-8.47,29.66,Chelelwa Charlets
638,Shingu,JP,74.71,light rain,33.73,135.98,Shingu UI Hotel
641,Marawi,PH,75.0,clear sky,8.0,124.29,Salihmaruhom
646,Eskisehir,TR,73.4,few clouds,39.78,30.52,Hotel ibis Eskisehir
650,Yuanping,CN,63.28,overcast clouds,38.72,112.76,Yuanping Xinghe Guesthouse
651,Vitkov,CZ,68.0,scattered clouds,49.77,17.75,Balaton
652,Leshan,CN,74.39,overcast clouds,29.56,103.76,Leshan Haiyun International Youth Hostel
653,Berlevag,NO,61.23,broken clouds,70.86,29.09,Kvitbrakka
656,Rosario Do Sul,BR,60.21,clear sky,-30.26,-54.91,Hotel Areias Brancas
658,Northam,GB,63.0,light rain,51.03,-4.22,Durrant House Hotel
664,Luanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
665,Sault Sainte Marie,CA,73.4,overcast clouds,46.52,-84.33,Comfort Inn
668,Cascais,PT,73.0,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
671,Zakupne,UA,73.0,clear sky,49.12,26.34,
672,Coos Bay,US,71.01,few clouds,43.37,-124.22,Best Western Holiday Hotel
674,Gniezno,PL,64.99,overcast clouds,52.53,17.58,Hotel Feniks
678,Slave Lake,CA,60.8,overcast clouds,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
685,Newport,GB,64.0,broken clouds,51.59,-3.0,ibis budget Newport
688,Ayr,GB,60.8,scattered clouds,55.46,-4.63,Mercure Ayr Hotel
693,Ngaoundere,CM,66.99,moderate rain,7.32,13.58,Hotel Mentong Palace
697,Sayyan,YE,68.0,light rain,15.17,44.32,الاستاذة مروى اليوسفي
