City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
212,Ovalle,-30.6,-71.2,66.42,clear sky,46,0,7.65,CL
213,Acari,-15.43,-74.62,74.34,clear sky,43,0,8.97,PE
214,Reconquista,-29.15,-59.65,64.44,clear sky,30,0,9.82,AR
215,Matane,48.83,-67.52,69.01,overcast clouds,47,100,6.53,CA
216,Swan Hill,-35.34,143.55,39.33,clear sky,94,0,11.43,AU
217,Coihaique,-45.58,-72.07,51.8,overcast clouds,62,90,6.93,CL
218,Nikolskoye,59.7,30.79,66.2,scattered clouds,63,40,6.71,RU
219,Nampula,-15.12,39.27,69.8,few clouds,73,20,14.99,MZ
220,Cabo San Lucas,22.89,-109.91,91.4,clear sky,58,5,9.17,MX
221,Naze,28.37,129.48,84.2,scattered clouds,89,40,5.82,JP
222,Souillac,-20.52,57.52,69.8,scattered clouds,88,40,8.05,MU
223,Togur,58.36,82.83,52.25,scattered clouds,97,34,6.58,RU
224,Akdepe,42.06,59.38,84.2,overcast clouds,30,100,11.41,TM
225,Sampit,-2.53,112.95,74.75,overcast clouds,96,100,2.33,ID
226,Kisangani,0.52,25.2,73.99,moderate rain,91,98,2.75,CD
227,Chiang Khong,20.26,100.4,77.0,light rain,100,40,4.7,TH
228,Port Lincoln,-34.73,135.87,49.19,light rain,75,60,11.48,AU
229,Riyadh,24.69,46.72,100.4,few clouds,12,22,6.93,SA
230,Carauari,-4.88,-66.9,87.57,clear sky,35,0,4.29,BR
231,Hay River,60.82,-115.8,57.2,broken clouds,76,75,10.29,CA
232,Luderitz,-26.65,15.16,67.64,clear sky,26,0,9.75,NA
233,Vila Franca Do Campo,37.72,-25.43,77.0,few clouds,78,20,5.82,PT
234,Camacha,33.08,-16.33,75.2,few clouds,69,20,14.99,PT
235,Flinders,-34.58,150.86,50.0,light rain,61,1,11.01,AU
236,Palampur,32.12,76.53,69.15,few clouds,70,14,2.35,IN
237,Acajutla,13.59,-89.83,77.0,scattered clouds,100,40,2.24,SV
238,Geraldton,-28.77,114.6,59.0,broken clouds,87,75,5.82,AU
239,Kondinskoye,59.65,67.41,51.73,broken clouds,89,79,6.38,RU
240,Havelock,34.88,-76.9,91.4,scattered clouds,52,40,9.17,US
241,Noumea,-22.28,166.46,64.4,overcast clouds,93,90,1.12,NC
242,Aykhal,66.0,111.5,44.6,scattered clouds,70,29,6.71,RU
243,Mar Del Plata,-38.0,-57.56,62.6,clear sky,29,0,14.99,AR
244,Beloha,-25.17,45.05,62.04,clear sky,77,0,10.67,MG
245,Mazatlan,23.22,-106.42,89.01,broken clouds,70,75,6.93,MX
246,Sandwick,60.0,-1.25,55.4,clear sky,93,4,10.29,GB
247,Olinda,-8.01,-34.86,77.0,broken clouds,83,75,13.87,BR
248,Ust-Nera,64.57,143.2,36.19,overcast clouds,80,100,4.88,RU
249,Harper,4.38,-7.72,76.01,scattered clouds,87,42,11.27,LR
250,Tsaratanana,-16.78,47.65,67.1,clear sky,63,1,14.76,MG
251,Port Augusta,-32.5,137.77,39.99,overcast clouds,93,100,6.93,AU
252,Podlesnoye,51.82,47.01,61.3,overcast clouds,60,94,5.99,RU
253,Lloret De Mar,41.7,2.85,81.0,clear sky,61,0,5.01,ES
254,Ketchikan,55.34,-131.65,57.2,light rain,93,90,11.41,US
255,Baherden,38.44,57.43,87.93,clear sky,42,0,2.55,TM
256,Katsuura,35.13,140.3,78.8,light intensity shower rain,83,75,11.41,JP
257,Soyo,-6.13,12.37,74.14,clear sky,84,1,8.5,AO
258,Tyup,42.73,78.36,58.14,overcast clouds,42,99,2.33,KG
259,Jiazi,22.88,116.07,81.07,overcast clouds,82,94,3.04,CN
260,Kavieng,-2.57,150.8,81.19,light rain,75,1,1.57,PG
261,Payson,40.04,-111.73,95.0,clear sky,19,1,4.7,US
262,Awbari,26.59,12.78,87.82,clear sky,19,0,10.69,LY
263,Vardo,70.37,31.11,59.23,broken clouds,78,53,18.99,NO
264,Bhatapara,21.73,81.93,78.8,haze,94,40,5.82,IN
265,Umm Lajj,25.02,37.27,83.89,overcast clouds,60,99,4.99,SA
266,Salinopolis,-0.61,-47.36,82.53,light rain,77,0,11.86,BR
267,Eravur,7.77,81.61,80.74,scattered clouds,77,46,4.43,LK
268,Kargasok,59.06,80.86,52.54,overcast clouds,96,88,6.53,RU
269,Lao Cai,22.48,103.95,76.66,moderate rain,83,76,0.27,VN
270,Malartic,48.13,-78.13,77.0,broken clouds,53,75,8.05,CA
271,Bitung,1.45,125.18,75.2,few clouds,88,20,2.24,ID
272,Eenhana,-17.47,16.33,77.0,broken clouds,20,59,3.36,NA
273,Constitucion,-35.33,-72.42,60.26,clear sky,60,0,7.74,CL
274,Namibe,-15.2,12.15,63.57,few clouds,89,14,1.95,AO
275,Cap Malheureux,-19.98,57.61,68.0,scattered clouds,79,37,3.0,MU
276,Mahajanga,-15.72,46.32,75.2,few clouds,78,20,2.24,MG
277,Biltine,14.53,20.92,84.63,overcast clouds,63,96,5.88,TD
278,College,64.86,-147.8,66.2,broken clouds,59,75,4.7,US
279,Nome,64.5,-165.41,51.8,light rain,93,90,9.17,US
280,Djambala,-2.54,14.75,73.31,light rain,80,100,5.08,CG
281,Roseburg,43.22,-123.34,70.0,scattered clouds,56,40,3.36,US
282,Weihe,33.0,105.32,65.86,light rain,90,100,1.99,CN
283,Torbay,47.67,-52.73,69.01,broken clouds,56,75,10.29,CA
284,Chokurdakh,70.63,147.92,30.83,overcast clouds,99,98,5.59,RU
285,Georgetown,5.41,100.34,80.6,few clouds,88,20,1.48,MY
286,Tura,25.52,90.22,73.83,broken clouds,97,57,6.08,IN
287,Huntsville,34.73,-86.59,82.99,broken clouds,65,75,5.12,US
288,Hami,42.8,93.45,78.55,clear sky,24,0,4.43,CN
289,Tondano,1.3,124.91,75.2,few clouds,88,20,2.24,ID
290,Ribnitz-Damgarten,54.25,12.47,69.01,broken clouds,64,75,11.41,DE
291,Moree,-29.47,149.85,37.4,clear sky,69,0,8.05,AU
292,Panguna,-6.32,155.48,67.82,overcast clouds,96,99,1.63,PG
293,Qixia,37.3,120.83,66.61,clear sky,94,2,2.82,CN
294,Masvingo,-20.06,30.83,55.42,scattered clouds,64,40,7.99,ZW
295,Antofagasta,-23.65,-70.4,59.0,few clouds,67,20,12.75,CL
296,Talnakh,69.49,88.4,57.2,scattered clouds,67,38,11.18,RU
297,Vestmannaeyjar,63.44,-20.27,53.6,few clouds,71,23,9.17,IS
298,Gizo,-8.1,156.84,82.27,light rain,81,77,16.78,SB
299,Husavik,66.04,-17.34,50.0,clear sky,71,0,14.99,IS
300,Lakatoro,-16.1,167.42,75.2,few clouds,88,20,4.7,VU
301,Kalabo,-14.97,22.68,70.48,clear sky,26,0,6.82,ZM
302,Portland,45.52,-122.68,72.0,light rain,60,75,4.7,US
303,Chaumont,48.12,5.13,72.0,overcast clouds,55,100,7.02,FR
304,Kununurra,-15.77,128.73,68.0,clear sky,24,0,8.25,AU
305,Cristalina,-16.77,-47.61,72.55,broken clouds,50,71,6.64,BR
306,Aksum,14.12,38.72,59.4,light rain,98,33,2.28,ET
307,Zacler,50.66,15.91,64.0,overcast clouds,94,100,3.11,CZ
308,Kashi,39.45,75.98,72.37,clear sky,25,0,4.59,CN
309,Ypsilanti,42.24,-83.61,89.6,clear sky,38,1,5.77,US
310,Karcsa,48.31,21.81,73.4,clear sky,78,0,4.7,HU
311,Marsh Harbour,26.54,-77.06,85.06,clear sky,75,0,15.95,BS
312,Alofi,-19.06,-169.92,75.2,clear sky,94,6,6.93,NU
313,Bandarbeyla,9.49,50.81,76.87,overcast clouds,76,100,32.41,SO
314,Llandrindod Wells,52.24,-3.38,61.0,light rain,75,100,5.99,GB
315,Eureka,40.8,-124.16,69.01,few clouds,11,12,3.0,US
316,Helong,42.54,129.0,59.05,overcast clouds,87,100,0.67,CN
317,Berezovyy,51.67,135.7,54.68,clear sky,90,1,1.7,RU
318,Kodiak,57.79,-152.41,64.4,clear sky,63,1,8.05,US
319,Bontang,0.13,117.5,78.6,overcast clouds,86,100,3.87,ID
320,Tucuman,-26.82,-65.22,69.8,smoke,22,0,8.05,AR
321,Boca Do Acre,-8.75,-67.4,80.49,clear sky,30,0,5.68,BR
322,Katobu,-4.94,122.53,71.58,overcast clouds,89,100,4.07,ID
323,Manokwari,-0.87,134.08,77.72,light rain,77,0,2.95,ID
324,Ufa,54.77,56.04,57.2,mist,87,90,6.71,RU
325,Vao,-22.67,167.48,72.32,broken clouds,88,59,10.78,NC
326,Bundaberg,-24.85,152.35,54.0,clear sky,40,0,5.82,AU
327,Galle,6.04,80.22,80.24,light rain,85,100,8.66,LK
328,Nadym,65.53,72.52,53.94,overcast clouds,86,100,12.8,RU
329,Maldonado,-34.67,-54.92,62.01,clear sky,44,0,10.29,UY
330,Krasnoselkup,65.7,82.47,54.34,overcast clouds,67,100,8.37,RU
331,Dingle,11.0,122.67,76.44,overcast clouds,89,94,2.17,PH
332,Nantes,47.17,-1.58,66.99,broken clouds,82,75,11.41,FR
333,Benemerito De Las Americas,16.52,-90.64,95.99,few clouds,41,15,3.53,MX
334,Kungurtug,50.6,97.52,46.67,clear sky,86,3,2.86,RU
335,Nabire,-3.37,135.48,73.45,moderate rain,92,47,3.87,ID
336,Uvalde,29.37,-99.77,91.0,clear sky,45,1,5.82,US
337,Damara,4.96,18.7,78.8,few clouds,88,20,2.24,CF
338,Bambous Virieux,-20.34,57.76,69.8,scattered clouds,88,40,8.05,MU
339,Nykoping,58.75,17.01,68.0,few clouds,64,20,9.17,SE
340,Rabaul,-4.2,152.17,78.55,clear sky,78,0,6.4,PG
341,Rodrigues Alves,-7.74,-72.65,66.2,overcast clouds,72,90,5.82,BR
342,Olonets,60.98,32.97,62.58,overcast clouds,70,100,8.61,RU
343,Kyrylivka,46.38,35.37,71.37,clear sky,69,2,13.06,UA
344,Robertsport,6.75,-11.37,76.87,moderate rain,89,100,12.44,LR
345,Kamiiso,41.82,140.65,64.27,broken clouds,89,58,3.09,JP
346,Mariani,26.67,94.33,76.87,moderate rain,91,100,3.87,IN
347,Ugoofaaru,5.67,73.0,83.8,clear sky,67,0,4.72,MV
348,Hualmay,-11.1,-77.61,66.33,clear sky,66,8,10.22,PE
349,Zhob,31.34,69.45,81.01,clear sky,58,2,9.4,PK
350,Cugir,45.83,23.37,70.0,clear sky,77,0,4.7,RO
351,Fier,40.72,19.56,75.4,clear sky,65,0,2.33,AL
352,Zabaykalsk,49.63,117.32,60.89,overcast clouds,75,100,5.1,RU
353,Kismayo,-0.36,42.55,76.77,broken clouds,81,58,17.43,SO
